filename,language,total_chunks,climate_chunks,kept_percentage,spec_specific,spec_non_specific,spec_avg_score,sent_opportunity,sent_neutral,sent_risk,sent_avg_score,commit_yes,commit_no,commit_avg_score,spec_specific_pct,sent_opportunity_pct,commit_yes_pct
005_2014_annual_report,en,213,47,22.065727699530516,33,14,0.7389137694176208,25,16,6,0.7585059797510187,26,21,0.8783284146735009,70.2,53.2,55.3
001_2014_annual_report,en,588,141,23.97959183673469,100,41,0.7602538479135391,18,65,58,0.7616462316496152,45,96,0.9026760695673895,70.9,12.8,31.9
015_2019_corporate_responsibility_report,en,142,80,56.33802816901409,57,23,0.7251294337213039,62,18,0,0.8554659463465214,76,4,0.939500468224287,71.2,77.5,95.0
002_2021_integrated_annual_report,en,348,88,25.287356321839084,61,27,0.7373656955632296,39,38,11,0.8114757995036516,56,32,0.925350006331097,69.3,44.3,63.6
008_2023_corporate_responsibility_report,de,150,80,53.333333333333336,25,55,0.7926423288881779,20,55,5,0.8476325657218695,38,42,0.9390432976186276,31.2,25.0,47.5
012_2015_annual_report,de,78,26,33.33333333333333,14,12,0.7365395816472861,15,7,4,0.8502236490066235,14,12,0.8856210914941934,53.8,57.7,53.8
001_2020_annual_report,en,898,292,32.516703786191535,216,76,0.7715386039998433,80,128,84,0.7726654710426722,166,126,0.9296038697843683,74.0,27.4,56.8
005_2018_annual_report,en,302,118,39.0728476821192,75,43,0.7569875489857237,57,49,12,0.8355165593704935,87,31,0.9242393818952269,63.6,48.3,73.7
001_2014_factbook,en,42,14,33.33333333333333,14,0,0.7473047631127494,7,7,0,0.6873020508459636,7,7,0.7782980714525495,100.0,50.0,50.0
014_2020_highlights,en,20,17,85.0,8,9,0.6697137531112222,13,4,0,0.7836375131326563,15,2,0.8981708077823415,47.1,76.5,88.2
014_2024_highlights,en,59,44,74.57627118644068,16,28,0.7307129827412692,17,20,7,0.8074018941684202,31,13,0.9091962995854291,36.4,38.6,70.5
001_2019_annual_report,en,739,220,29.76995940460081,161,59,0.7627139205282385,39,110,71,0.7881806606596167,115,105,0.9321554498238998,73.2,17.7,52.3
013_2023_sustainability_report,en,79,63,79.74683544303798,24,39,0.7188271331408668,22,38,3,0.8678594174839201,45,18,0.926419080249847,38.1,34.9,71.4
001_2019_integrated_annual_review,en,131,98,74.80916030534351,52,46,0.7439571217614778,56,38,4,0.8664196504622089,83,15,0.954512467189711,53.1,57.1,84.7
002_2019_annual_report,en,340,80,23.52941176470588,50,30,0.7590078338980675,38,33,9,0.8104156065732241,59,21,0.8936095543205738,62.5,47.5,73.8
015_2022_corporate_responsibility_report,zh,161,80,49.68944099378882,42,38,0.7423952959477902,52,27,1,0.863352470099926,68,12,0.9068267785012722,52.5,65.0,85.0
003_2013_annual_report,en,247,45,18.218623481781375,36,9,0.7776876939667596,13,12,20,0.8266666253407796,24,21,0.9016449358728197,80.0,28.9,53.3
008_2020_corporate_responsibility_report,de,95,51,53.68421052631579,21,30,0.778093582274867,17,30,4,0.8374201076872209,39,12,0.9188557571055842,41.2,33.3,76.5
004_2015_annual_report,en,274,68,24.817518248175183,48,20,0.7388276054578669,24,26,18,0.7790353026460198,31,37,0.8840997762539807,70.6,35.3,45.6
008_2015_corporate_responsibility_report,de,78,37,47.43589743589743,13,24,0.7562197414604394,13,21,3,0.8128576415616113,17,20,0.8629184719678518,35.1,35.1,45.9
005_2017_annual_report,en,338,138,40.828402366863905,82,56,0.7517876171547434,67,57,14,0.8251414268776991,102,36,0.9173809225144594,59.4,48.6,73.9
003_2020_annual_report,en,294,105,35.714285714285715,75,30,0.7333950593357994,22,53,30,0.8112370269639152,63,42,0.9080198776154291,71.4,21.0,60.0
sag-19-056-03_folder_zahlen_und_fakten_2020_en_140921,en,1,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,,,
005_2015_annual_report,en,382,124,32.460732984293195,74,50,0.7394532292119919,53,60,11,0.8328769437728389,96,28,0.9091979443065582,59.7,42.7,77.4
001_2022_integrated_annual_review,en,179,145,81.00558659217877,69,76,0.7643932449406591,66,70,9,0.8746129973181362,127,18,0.9619963452733796,47.6,45.5,87.6
001_2021_integrated_annual_review,en,142,114,80.28169014084507,65,49,0.760607182456736,55,55,4,0.8891722695869312,97,17,0.9469631319506127,57.0,48.2,85.1
006_2023_annual_report,en,243,162,66.66666666666666,101,61,0.723593090787346,62,73,27,0.8102446303323463,116,46,0.9547354928505274,62.3,38.3,71.6
015_2017_corporate_responsibility_report,en,164,85,51.829268292682926,66,19,0.6980884944691378,66,17,2,0.8367624033899869,75,10,0.9028437670539408,77.6,77.6,88.2
004_2013_annual_report,en,265,52,19.622641509433965,30,22,0.7380934082544767,19,15,18,0.8134114856903369,25,27,0.8961961429852706,57.7,36.5,48.1
004_2022_annual_report,en,443,152,34.31151241534989,61,91,0.7412687132233068,40,72,40,0.8445549873929274,77,75,0.9057585271565538,40.1,26.3,50.7
004_2019_non_financial_report,en,60,39,65.0,15,24,0.738287396920033,11,27,1,0.863660149085216,29,10,0.9287719650146289,38.5,28.2,74.4
009_2021_sustainability_report,en,228,141,61.8421052631579,86,55,0.6884400337300403,55,83,3,0.7796169935811496,81,60,0.9183272626383084,61.0,39.0,57.4
002_2019_sustainability_report,en,80,46,57.49999999999999,24,22,0.7501091244428054,19,22,5,0.8374976956326029,34,12,0.9222516495248546,52.2,41.3,73.9
012_2019_annual_report,de,70,17,24.285714285714285,11,6,0.8250127119176528,12,5,0,0.8170768092660343,14,3,0.9467658155104693,64.7,70.6,82.4
008_2013_corporate_responsibility_report,de,78,44,56.41025641025641,23,21,0.7083901261741464,22,22,0,0.8581696958704428,27,17,0.898487540808591,52.3,50.0,61.4
001_2025_corporate_climate_assessment,en,51,50,98.0392156862745,46,4,0.786285035610199,12,34,4,0.8107147568464279,39,11,0.9196399283409119,92.0,24.0,78.0
001_2015_annual_review,en,183,129,70.49180327868852,87,42,0.7587124686832576,74,47,8,0.8424664435460586,107,22,0.9486210124437199,67.4,57.4,82.9
001_2014_annual_review,en,309,113,36.56957928802589,73,40,0.7759622957854144,38,48,27,0.822247337978498,71,42,0.9314611591069044,64.6,33.6,62.8
003_2022_annual_report,en,381,197,51.70603674540683,135,62,0.7572851913229464,46,102,49,0.8160909444547547,122,75,0.9306980737574815,68.5,23.4,61.9
014_2014_sustainability_report,it,139,83,59.71223021582733,36,47,0.7126323092414673,29,48,6,0.8316073284809848,46,37,0.8703363544969673,43.4,34.9,55.4
014_2023_highlights,en,8,8,100.0,4,4,0.6893014684319496,7,1,0,0.7640568017959595,7,1,0.9464007392525673,50.0,87.5,87.5
001_2020_factbook,en,80,39,48.75,37,2,0.8131104233937386,9,30,0,0.8094907632240882,19,20,0.8895157621457026,94.9,23.1,48.7
DILLINGER_Nachhaltigkeitsbericht_Faktenblatt_2023_EN,en,3,2,66.66666666666666,2,0,0.7957922220230103,0,2,0,0.842077374458313,0,2,0.8852176070213318,100.0,0.0,0.0
004_2023_annual_report,en,476,175,36.76470588235294,96,79,0.7341570622580392,53,80,42,0.8290573683806828,90,85,0.9088843774795532,54.9,30.3,51.4
001_2022_factbook,en,79,49,62.0253164556962,46,3,0.8126916666420139,14,33,2,0.7990393158124418,29,20,0.85167096099075,93.9,28.6,59.2
011_2023_sustainability_report,en,80,69,86.25,35,34,0.742134109787319,29,31,9,0.8556194227674733,52,17,0.9474112270534902,50.7,42.0,75.4
nachhaltigkeit_faktenblatt_dil_2019_en_prod,en,3,2,66.66666666666666,2,0,0.8182423412799835,0,2,0,0.861295074224472,0,2,0.9790364801883698,100.0,0.0,0.0
014_2017_sustainability_report,en,131,94,71.7557251908397,44,50,0.6818052175197196,31,59,4,0.8049358338751691,67,27,0.8985883815491453,46.8,33.0,71.3
002_2023_integrated_annual_report,en,154,96,62.33766233766234,54,42,0.7295986283570528,31,52,13,0.8179820266862711,65,31,0.946368937070171,56.2,32.3,67.7
015_2016_corporate_responsibility_report,et,193,1,0.5181347150259068,1,0,0.5921304821968079,1,0,0,0.5534916520118713,0,1,0.7099434733390808,100.0,100.0,0.0
015_2023_corporate_responsibility_report,en,145,93,64.13793103448275,60,33,0.7278281040089105,70,22,1,0.872765245937532,85,8,0.9488609426765031,64.5,75.3,91.4
002_2022_integrated_annual_report,en,112,65,58.03571428571429,36,29,0.7079803164188678,20,32,13,0.8297387765004085,41,24,0.9274126914831308,55.4,30.8,63.1
003_2024_annual_report,en,542,327,60.332103321033216,162,165,0.7533860108174315,33,201,93,0.8231268373833519,191,136,0.9107912727816754,49.5,10.1,58.4
007_2023_sustainability_report,es,184,121,65.76086956521739,48,73,0.7299197212723662,55,61,5,0.8203064878124836,87,34,0.9294714198624792,39.7,45.5,71.9
006_2022_sustainability_report,en,125,100,80.0,62,38,0.7357255852222443,55,39,6,0.8311215236783027,84,16,0.9399626690149308,62.0,55.0,84.0
004_2018_non_financial_report,en,59,36,61.016949152542374,15,21,0.7470477057827843,11,25,0,0.8759087456597222,25,11,0.9112212823496925,41.7,30.6,69.4
012_2021_annual_report,de,88,32,36.36363636363637,18,14,0.7178269065916538,18,12,2,0.7946191597729921,22,10,0.9386718943715096,56.2,56.2,68.8
010_2022_sustainability_report,en,155,91,58.70967741935483,49,42,0.738428614951752,28,50,13,0.8211205244719327,74,17,0.9068019481805655,53.8,30.8,81.3
004_2020_annual_report,en,261,40,15.32567049808429,27,13,0.7834626093506813,13,12,15,0.8414975173771382,18,22,0.8986688911914825,67.5,32.5,45.0
