company,company_id,year,total_chunks,climate_chunks,climate_pct,netzero_chunks,netzero_pct,netzero_of_climate_pct
Dillinger,012,2024,42,16,38.095238095238095,1,6.25,6.25
SIDENOR,013,2021,38,36,94.73684210526315,5,13.88888888888889,13.88888888888889
SIDENOR,013,2022,61,46,75.40983606557377,3,6.521739130434782,6.521739130434782
SIDENOR,013,2023,46,41,89.13043478260869,15,36.58536585365854,36.58536585365854
SIDENOR,013,2024,106,81,76.41509433962264,10,12.345679012345679,12.345679012345679
Feralpi,014,2014,122,75,61.47540983606557,8,10.666666666666668,10.666666666666668
Feralpi,014,2016,145,103,71.03448275862068,2,1.9417475728155338,1.9417475728155338
Feralpi,014,2017,92,67,72.82608695652173,2,2.9850746268656714,2.9850746268656714
Feralpi,014,2018,102,74,72.54901960784314,4,5.405405405405405,5.405405405405405
Feralpi,014,2019,102,63,61.76470588235294,6,9.523809523809524,9.523809523809524
Feralpi,014,2020,219,126,70.22031366691562,12,9.328063241106719,9.523809523809524
Feralpi,014,2021,192,138,75.625,21,16.75824175824176,15.217391304347828
Feralpi,014,2022,213,151,79.05982905982906,9,6.087962962962964,5.960264900662252
Feralpi,014,2023,292,176,79.86111111111111,22,43.02325581395349,12.5
Feralpi,014,2024,246,161,71.30965593784683,18,12.63128800442233,11.180124223602485
NipponSteel,015,2013,170,72,59.76190476190476,8,14.548494983277592,11.11111111111111
NipponSteel,015,2014,203,101,61.74670976679751,18,17.16269841269841,17.82178217821782
NipponSteel,015,2015,200,93,62.603950103950105,12,12.162790697674419,12.903225806451612
NipponSteel,015,2016,212,109,65.66666666666667,14,11.805078929306795,12.844036697247708
NipponSteel,015,2017,207,125,68.19680319680319,18,13.292158968850696,14.399999999999999
NipponSteel,015,2018,255,178,74.54795597484276,19,10.618686868686869,10.674157303370785
NipponSteel,015,2019,316,183,64.41661024599414,17,9.324162679425838,9.289617486338798
NipponSteel,015,2020,348,208,65.41313559322035,25,12.026862026862027,12.01923076923077
NipponSteel,015,2021,339,187,58.6890243902439,20,10.732323232323232,10.695187165775401
NipponSteel,015,2022,354,252,71.83221389821752,25,9.916808470410285,9.920634920634921
NipponSteel,015,2023,384,236,63.33078686019863,13,5.5027027027027025,5.508474576271186
NipponSteel,015,2024,466,353,75.7510729613734,26,7.365439093484419,7.365439093484419
Baosteel,016,2013,277,74,35.65622758785561,2,3.4259259259259256,2.7027027027027026
Baosteel,016,2014,295,57,27.121417287294065,3,3.9473684210526314,5.263157894736842
Baosteel,016,2015,278,68,36.159679137682524,2,4.086538461538462,2.941176470588235
Baosteel,016,2016,364,86,38.467642740943546,2,1.5625,2.3255813953488373
Baosteel,016,2017,373,82,41.62283130306386,3,3.6109303838646714,3.6585365853658534
Baosteel,016,2018,278,104,43.270695784662266,4,4.02632597754549,3.8461538461538463
Baosteel,016,2019,444,112,37.63955342902711,6,5.833333333333333,5.357142857142857
Baosteel,016,2020,407,114,39.13192182410423,6,5.289205072687906,5.263157894736842
Baosteel,016,2021,524,179,42.8021978021978,9,4.884615384615385,5.027932960893855
Baosteel,016,2022,477,208,48.824331696672125,15,7.697223190426397,7.211538461538461
Baosteel,016,2023,400,161,41.85568044961863,16,6.2015503875969,9.937888198757763
Baosteel,016,2024,406,163,41.72270955165692,6,3.335478335478335,3.6809815950920246
